"subject","test_part","skew","P_A1","O_A1","P_A2","O_A2","P_B1","O_B1","P_B2","O_B2","eva","evb","evd","sda","sdb","sdd","risk_index","response","rt","cho"
"4xf5xlk2","cc","lr",84,88,16,25,95,85,5,141,77.92,87.8,-9.88,23.0961815,12.20491704,10.89126446,-1,"f",13013,-1
"4xf5xlk2","ss","lr",83,72,17,7,93,48,7,84,60.95,50.52,10.43,24.41613196,9.185292592,15.23083937,1,"f",5608,1
"4xf5xlk2","ss","control",48,82,52,153,72,161,28,82,118.92,138.88,-19.96,35.47158863,35.47091203,0.000676604,-1,"f",5405,-1
"4xf5xlk2","cc","rl",89,21,11,71,13,12,87,28,26.5,25.92,0.58,15.64448785,5.380854951,10.2636329,1,"j",8462,-1
"4xf5xlk2","ss","rl",84,60,16,167,92,95,8,6,77.12,87.88,-10.76,39.22684795,24.14509474,15.08175321,-1,"f",6019,-1
"4xf5xlk2","cc","rl",9,106,91,51,85,79,15,61,55.95,76.3,-20.35,15.73999682,6.427285586,9.312711238,-1,"f",8585,-1
"4xf5xlk2","cc","lr",87,60,13,14,96,33,4,66,54.02,34.32,19.7,15.46995798,6.466652921,9.003305062,1,"f",8104,1
"4xf5xlk2","ss","control",53,61,47,25,79,15,21,59,44.08,24.24,19.84,17.96757079,17.92156243,0.046008356,1,"f",7188,1
"4xf5xlk2","ss","control",47,32,53,56,49,13,51,37,44.72,25.24,19.48,11.97838052,11.99759976,-0.019219235,1,"f",4276,1
"4xf5xlk2","cc","ns",52,98,48,130,47,107,53,120,113.36,113.89,-0.53,15.98719488,6.488289451,9.498905425,-1,"f",10916,-1
"4xf5xlk2","ss","ns",69,118,31,36,58,115,42,60,92.58,91.9,0.68,37.92444594,27.14571789,10.77872805,-1,"f",5325,-1
"4xf5xlk2","cc","rl",14,170,86,79,13,5,87,82,91.74,71.99,19.75,31.57581986,25.89536445,5.680455413,1,"f",8549,1
"4xf5xlk2","cc","control",53,50,47,76,63,92,37,65,62.22,82.01,-19.79,12.9765789,13.03571632,-0.059137419,1,"j",12324,-1
"4xf5xlk2","ss","rl",88,89,12,186,82,92,18,24,100.64,79.76,20.88,31.52126901,26.12474689,5.396522121,1,"f",2832,1
"4xf5xlk2","ss","control",39,74,61,40,72,84,28,47,53.26,73.64,-20.38,16.58349782,16.6129588,-0.029460976,-1,"f",2564,-1
"4xf5xlk2","cc","rl",94,54,6,179,85,87,15,44,61.5,80.55,-19.05,29.68585522,15.35407112,14.3317841,1,"j",8853,-1
"4xf5xlk2","cc","control",67,60,33,90,74,41,26,73,69.9,49.32,20.58,14.10638153,14.03629581,0.070085727,-1,"j",9497,1
"4xf5xlk2","cc","lr",14,12,86,108,17,167,83,104,94.56,114.71,-20.15,33.31075502,23.66486636,9.645888657,1,"j",6631,-1
"4xf5xlk2","ss","rl",12,169,88,71,13,15,87,81,82.76,72.42,10.34,31.84623055,22.19602667,9.650203875,-1,"j",5241,1
"4xf5xlk2","ss","rl",84,55,16,85,12,51,88,72,59.8,69.48,-9.68,10.99818167,6.82419226,4.173989408,1,"j",6137,-1
"4xf5xlk2","cc","rl",92,19,8,77,94,36,6,9,23.64,34.38,-10.74,15.73500556,6.412144727,9.322860834,1,"f",6079,1
"4xf5xlk2","cc","rl",81,56,19,139,81,62,19,6,71.77,51.36,20.41,32.56097511,21.96885068,10.59212443,-1,"f",5057,-1
"4xf5xlk2","ss","rl",17,113,83,51,16,11,84,59,61.54,51.32,10.22,23.28923356,17.59709067,5.692142895,-1,"j",4938,1
"4xf5xlk2","ss","rl",15,176,85,78,9,10,91,79,92.7,72.79,19.91,34.9929993,19.74654147,15.24645783,-1,"j",5211,1
"4xf5xlk2","ss","rl",81,12,19,55,13,4,87,23,20.17,20.53,-0.36,16.86893891,6.389765254,10.47917366,1,"f",7417,1
"4xf5xlk2","ss","lr",19,39,81,88,4,136,96,87,78.69,88.96,-10.27,19.22274434,9.601999792,9.620744549,-1,"f",5106,-1
"4xf5xlk2","ss","control",41,17,59,138,61,156,39,34,88.39,108.42,-20.03,59.51182992,59.50549218,0.006337733,-1,"f",3192,-1
"4xf5xlk2","cc","control",38,67,62,113,22,73,78,127,95.52,115.12,-19.6,22.32777642,22.36930039,-0.041523968,-1,"f",5821,-1
"4xf5xlk2","ss","ns",53,6,47,52,67,32,33,17,27.62,27.05,0.57,22.95856267,7.053190767,15.90537191,1,"j",5536,-1
"4xf5xlk2","cc","ns",46,18,54,94,30,114,70,64,59.04,79,-19.96,37.87820481,22.91287847,14.96532634,-1,"f",7682,-1
"4xf5xlk2","ss","ns",45,16,55,65,34,19,66,40,42.95,32.86,10.09,24.37719221,9.947884197,14.42930801,1,"f",2794,1
"4xf5xlk2","cc","ns",69,135,31,69,39,166,61,115,114.54,134.89,-20.35,30.52455405,24.87524673,5.649307318,1,"j",8471,-1
"4xf5xlk2","cc","lr",15,12,85,111,84,107,16,161,96.15,115.64,-19.49,35.35007072,19.796727,15.55334372,-1,"f",12336,-1
"4xf5xlk2","cc","lr",84,114,16,53,95,110,5,186,104.24,113.8,-9.56,22.36296939,16.56381599,5.799153406,-1,"f",5592,-1
"4xf5xlk2","ss","rl",5,66,95,32,97,54,3,43,33.7,53.67,-19.97,7.410128204,1.876459432,5.533668772,-1,"f",2471,-1
"4xf5xlk2","ss","rl",15,133,85,43,85,54,15,5,56.5,46.65,9.85,32.13642793,17.49649965,14.63992828,-1,"j",4556,1
"4xf5xlk2","cc","lr",85,86,15,12,86,80,14,115,74.9,84.9,-10,26.42328519,12.1445461,14.27873908,-1,"f",5947,-1
"4xf5xlk2","ss","control",43,49,57,68,21,62,79,85,59.83,80.17,-20.34,9.406439284,9.368089453,0.038349831,-1,"f",5324,-1
"4xf5xlk2","cc","rl",85,39,15,62,4,41,96,53,42.45,52.52,-10.07,8.212642693,2.351510153,5.86113254,-1,"f",4581,-1
"4xf5xlk2","cc","ns",31,17,69,54,70,31,30,5,42.53,23.2,19.33,17.11225,11.91469681,5.197553191,-1,"j",5126,1
"4xf5xlk2","ss","ns",35,4,65,110,30,133,70,33,72.9,63,9.9,50.55877768,45.82575695,4.733020726,-1,"f",6194,-1
"4xf5xlk2","cc","lr",17,68,83,130,8,124,92,97,119.46,99.16,20.3,23.28923356,7.324916382,15.96431718,-1,"j",11305,1
"4xf5xlk2","cc","lr",5,21,95,80,17,85,83,63,77.05,66.74,10.31,12.85875188,8.263921587,4.594830296,-1,"j",11592,1
"4xf5xlk2","cc","lr",83,57,17,7,85,37,15,50,48.5,38.95,9.55,18.78163997,4.641928479,14.13971149,1,"j",2188,-1
"4xf5xlk2","ss","lr",8,12,92,58,11,54,89,43,54.32,44.21,10.11,12.47948717,3.441787326,9.037699843,1,"j",2892,-1
